id,name,sourceFactionId,faction,playable,encounterTags,stats,scaling,balanceNotes,loreGuardrails
"MG-CREATURE-001","Hollow Wretch","","","False","[""hollow"", ""general""]","{""levelBand"": [1, 25], ""hp"": 45, ""damage"": 8, ""range"": 1, ""armor"": 2, ""resistance"": 2, ""movement"": 4, ""initiative"": 40, ""accuracy"": 72, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 1.0, ""xpValue"": 10}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Minor SWARMER pressures one active deity through behavior first, stats second; threatWeight 1.0 controls encounter budgets.",""
"MG-CREATURE-012","Hollow Root Parasite","","","False","[""terrain-corruptor"", ""tuatha"", ""swarm"", ""weekly-trial""]","{""levelBand"": [1, 25], ""hp"": 78, ""damage"": 7, ""range"": 1, ""armor"": 2, ""resistance"": 2, ""movement"": 4, ""initiative"": 40, ""accuracy"": 72, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 1.0, ""xpValue"": 10}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Minor SWARMER pressures one active deity through behavior first, stats second; threatWeight 1.0 controls encounter budgets.",""
"MG-CREATURE-013","Hollow Shrine-Mask","","","False","[""kami"", ""reposition"", ""spirit"", ""event""]","{""levelBand"": [15, 55], ""hp"": 164, ""damage"": 16, ""range"": 1, ""armor"": 11, ""resistance"": 5, ""movement"": 3, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 6, ""guardBreak"": 12, ""threatWeight"": 2.0, ""xpValue"": 28}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Major BRUTE pressures one active deity through behavior first, stats second; threatWeight 2.0 controls encounter budgets.",""
"MG-CREATURE-014","Hollow Laurel Butcher","","","False","[""olympian"", ""duelist"", ""breaker"", ""elite""]","{""levelBand"": [15, 55], ""hp"": 167, ""damage"": 17, ""range"": 1, ""armor"": 11, ""resistance"": 5, ""movement"": 3, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 6, ""guardBreak"": 12, ""threatWeight"": 2.0, ""xpValue"": 28}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +2 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Major BRUTE pressures one active deity through behavior first, stats second; threatWeight 2.0 controls encounter budgets.",""
"MG-CREATURE-015","Hollow Chain Auditor","","","False","[""infernal"", ""resource-tax"", ""control"", ""event""]","{""levelBand"": [35, 85], ""hp"": 200, ""damage"": 21, ""range"": 3, ""armor"": 11, ""resistance"": 10, ""movement"": 3, ""initiative"": 58, ""accuracy"": 82, ""evasion"": 9, ""guardBreak"": 16, ""threatWeight"": 4.0, ""xpValue"": 70}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Elite ELITE pressures one active deity through behavior first, stats second; threatWeight 4.0 controls encounter budgets.",""
"MG-CREATURE-016","Hollow Gate Anchor","","","False","[""anchor"", ""spawner"", ""objective"", ""raid-add""]","{""levelBand"": [35, 85], ""hp"": 203, ""damage"": 18, ""range"": 4, ""armor"": 11, ""resistance"": 13, ""movement"": 3, ""initiative"": 58, ""accuracy"": 82, ""evasion"": 9, ""guardBreak"": 16, ""threatWeight"": 4.0, ""xpValue"": 70}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Elite CONTROLLER pressures one active deity through behavior first, stats second; threatWeight 4.0 controls encounter budgets.",""
"MG-CREATURE-017","Hollow Memory Thief","","","False","[""assassin"", ""cooldown"", ""adaptive"", ""ascension""]","{""levelBand"": [15, 55], ""hp"": 176, ""damage"": 16, ""range"": 1, ""armor"": 11, ""resistance"": 5, ""movement"": 3, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 6, ""guardBreak"": 12, ""threatWeight"": 2.0, ""xpValue"": 28}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +2 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Major BRUTE pressures one active deity through behavior first, stats second; threatWeight 2.0 controls encounter budgets.",""
"MG-CREATURE-018","Hollow World-Wound Behemoth","","","False","[""world-boss"", ""seasonal"", ""hollow-breach"", ""raid""]","{""levelBand"": [70, 100], ""hp"": 574, ""damage"": 30, ""range"": 3, ""armor"": 18, ""resistance"": 18, ""movement"": 2, ""initiative"": 65, ""accuracy"": 86, ""evasion"": 5, ""guardBreak"": 32, ""threatWeight"": 12.0, ""xpValue"": 350}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: World Boss CHAMPION pressures one active deity through behavior first, stats second; threatWeight 12.0 controls encounter budgets.",""
"MG-CREATURE-019","Aten Ra Sun-Seal Vigilant","MG-FACTION-001","","False","[""faction-run-in"", ""aten-ra"", ""control"", ""cross-faction-event""]","{""levelBand"": [25, 100], ""hp"": 126, ""damage"": 22, ""range"": 3, ""armor"": 7, ""resistance"": 8, ""movement"": 4, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 3.0, ""xpValue"": 46}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction CONTROL run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-001"", ""homeFactionName"": ""Aten Ra"", ""sourceCultureRule"": ""source culture humans later copied as Egyptian solar myth"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
"MG-CREATURE-020","Khepri Scarab Dawn Engine","MG-FACTION-001","","False","[""faction-run-in"", ""aten-ra"", ""brute"", ""cross-faction-event""]","{""levelBand"": [10, 85], ""hp"": 88, ""damage"": 16, ""range"": 1, ""armor"": 7, ""resistance"": 5, ""movement"": 3, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 8, ""guardBreak"": 14, ""threatWeight"": 2.0, ""xpValue"": 30}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction BRUTE run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-001"", ""homeFactionName"": ""Aten Ra"", ""sourceCultureRule"": ""source culture humans later copied as Egyptian solar myth"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
"MG-CREATURE-021","Uraeus Counter-Edict Serpent","MG-FACTION-001","","False","[""faction-run-in"", ""aten-ra"", ""debuffer"", ""cross-faction-event""]","{""levelBand"": [10, 85], ""hp"": 88, ""damage"": 16, ""range"": 3, ""armor"": 7, ""resistance"": 8, ""movement"": 4, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 2.0, ""xpValue"": 30}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction DEBUFFER run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-001"", ""homeFactionName"": ""Aten Ra"", ""sourceCultureRule"": ""source culture humans later copied as Egyptian solar myth"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
"MG-CREATURE-022","Storm-Oath Rime Raider","MG-FACTION-002","","False","[""faction-run-in"", ""asgardian"", ""melee"", ""cross-faction-event""]","{""levelBand"": [10, 85], ""hp"": 88, ""damage"": 16, ""range"": 1, ""armor"": 7, ""resistance"": 5, ""movement"": 4, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 2.0, ""xpValue"": 30}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction MELEE run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-002"", ""homeFactionName"": ""Asgardian"", ""sourceCultureRule"": ""source culture humans later copied as Norse myth"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
"MG-CREATURE-023","Thunder-Bridge Jotun","MG-FACTION-002","","False","[""faction-run-in"", ""asgardian"", ""brute"", ""cross-faction-event""]","{""levelBand"": [25, 100], ""hp"": 126, ""damage"": 22, ""range"": 1, ""armor"": 7, ""resistance"": 5, ""movement"": 3, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 8, ""guardBreak"": 14, ""threatWeight"": 3.0, ""xpValue"": 46}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction BRUTE run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-002"", ""homeFactionName"": ""Asgardian"", ""sourceCultureRule"": ""source culture humans later copied as Norse myth"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
"MG-CREATURE-024","Valkyr Storm-Caller","MG-FACTION-002","","False","[""faction-run-in"", ""asgardian"", ""support"", ""cross-faction-event""]","{""levelBand"": [10, 85], ""hp"": 88, ""damage"": 16, ""range"": 3, ""armor"": 7, ""resistance"": 8, ""movement"": 4, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 2.0, ""xpValue"": 30}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction SUPPORT run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-002"", ""homeFactionName"": ""Asgardian"", ""sourceCultureRule"": ""source culture humans later copied as Norse myth"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
"MG-CREATURE-025","Olympian Laurel Hoplon Guard","MG-FACTION-003","","False","[""faction-run-in"", ""olympian"", ""defender"", ""cross-faction-event""]","{""levelBand"": [10, 85], ""hp"": 88, ""damage"": 16, ""range"": 1, ""armor"": 7, ""resistance"": 5, ""movement"": 3, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 2.0, ""xpValue"": 30}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction DEFENDER run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-003"", ""homeFactionName"": ""Olympian"", ""sourceCultureRule"": ""source culture humans later copied as Greek myth"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
"MG-CREATURE-026","Oracle Glass Archer","MG-FACTION-003","","False","[""faction-run-in"", ""olympian"", ""ranged"", ""cross-faction-event""]","{""levelBand"": [10, 85], ""hp"": 88, ""damage"": 16, ""range"": 3, ""armor"": 5, ""resistance"": 5, ""movement"": 4, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 2.0, ""xpValue"": 30}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction RANGED run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-003"", ""homeFactionName"": ""Olympian"", ""sourceCultureRule"": ""source culture humans later copied as Greek myth"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
"MG-CREATURE-027","Bronze Chimera Trialbeast","MG-FACTION-003","","False","[""faction-run-in"", ""olympian"", ""elite"", ""cross-faction-event""]","{""levelBand"": [25, 100], ""hp"": 126, ""damage"": 22, ""range"": 1, ""armor"": 7, ""resistance"": 5, ""movement"": 4, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 8, ""guardBreak"": 14, ""threatWeight"": 3.0, ""xpValue"": 46}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction ELITE run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-003"", ""homeFactionName"": ""Olympian"", ""sourceCultureRule"": ""source culture humans later copied as Greek myth"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
"MG-CREATURE-028","Kami Torii Foxfire Runner","MG-FACTION-004","","False","[""faction-run-in"", ""kami"", ""fast"", ""cross-faction-event""]","{""levelBand"": [10, 85], ""hp"": 88, ""damage"": 16, ""range"": 1, ""armor"": 5, ""resistance"": 5, ""movement"": 5, ""initiative"": 56, ""accuracy"": 78, ""evasion"": 13, ""guardBreak"": 10, ""threatWeight"": 2.0, ""xpValue"": 30}","{""campaign"": ""Fixed mission bands; older cross-faction run-ins become easier as Divine Level and gear rise."", ""eliteRemix"": ""+10% damage, +1 tactical mechanic, not raw health sponge tuning."", ""endgame"": ""Adds role synergy and objective pressure before raw hp increases."", ""levelFormula"": ""hp and damage scale by mission band and device performance caps; mechanics are preferred over inflated health pools.""}","Cross-faction FAST run-in tuned for one deity vs many; lore pressure and role synergy first, raw stats second.","{""homeFactionId"": ""MG-FACTION-004"", ""homeFactionName"": ""Kami"", ""sourceCultureRule"": ""source culture humans later copied as Japanese myth and Shinto shrine lore"", ""forbidden"": ""Do not use as a generic monster; keep faction law, materials, motives, and silhouette intact.""}"
